Nombre Cliente;Genero;Pais;Precio USD;Unidades Vendidas;Fecha Venta;Familia de Productos;Año;Ventas
Carolyn Hoffman;Femenino;Brasil;553.61;3;1/01/2023;Smartphones;2023;1660.83
Mr. Scott Patel;No especificado;Argentina;314.98;3;1/01/2023;Tablets;2023;944.94
Kathleen Montgomery;Masculino;Francia;958.08;5;1/01/2023;Televisores;2023;4790.4
April Ibarra;No especificado;Mexico;886.52;5;1/01/2023;Televisores;2023;4432.6
John Delgado;Masculino;Alemania;191.22;6;1/01/2023;Desktops;2023;1147.32
Paula Bailey;Femenino;Alemania;182.84;5;1/01/2023;Laptops;2023;914.2
Brian Smith;Masculino;Francia;106.43;7;1/01/2023;Tablets;2023;745.01
Maria Prince;Femenino;Colombia;901.81;4;1/01/2023;Televisores;2023;3607.24
William Rodriguez;Masculino;USA;429.53;5;1/01/2023;Laptops;2023;2147.65
Nancy Alexander;Masculino;Colombia;237.97;4;1/01/2023;Laptops;2023;951.88
Micheal Ware;No especificado;Alemania;511.94;3;1/01/2023;Laptops;2023;1535.82
Linda Lloyd;Femenino;USA;388.9;6;1/01/2023;Consolas;2023;2333.4
Kelly Garcia;No especificado;Mexico;890.6;3;1/01/2023;Consolas;2023;2671.8
Ronald Keller;Femenino;Argentina;422.29;1;1/01/2023;Tablets;2023;422.29
Michael Lam;Femenino;Mexico;328.26;8;1/01/2023;Desktops;2023;2626.08
Ronnie Walker;Femenino;Alemania;444.79;9;1/01/2023;Desktops;2023;4003.11
Yvonne Campos;Masculino;Italia;493.14;1;1/01/2023;Cámaras;2023;493.14
Amanda Hubbard;Masculino;Canada;421.62;3;1/01/2023;Smartphones;2023;1264.86
Tommy Watson;Femenino;Colombia;669.64;7;1/01/2023;Desktops;2023;4687.48
Valerie Williams;Femenino;USA;710.49;3;1/01/2023;Consolas;2023;2131.47
Michael Osborne;Femenino;Francia;473.26;4;1/01/2023;Smartphones;2023;1893.04
Nicholas Morrison;Femenino;Argentina;835.73;1;1/01/2023;Televisores;2023;835.73
Jay Freeman;No especificado;USA;837.27;5;1/01/2023;Consolas;2023;4186.35
Amy Lewis;No especificado;España;329.41;7;1/01/2023;Laptops;2023;2305.87
Meghan Rivera;Masculino;Colombia;449.12;10;1/01/2023;Smartphones;2023;4491.2
Alexander Garrison;Masculino;Mexico;452.4;1;1/01/2023;Desktops;2023;452.4
Erin Kennedy;Masculino;España;498.21;6;1/01/2023;Smartphones;2023;2989.26
John Hoffman;Masculino;España;185.55;5;1/01/2023;Cámaras;2023;927.75
Christopher Lara;Masculino;Canada;562.85;5;1/01/2023;Laptops;2023;2814.25
Michael Mcdonald;Masculino;España;403.21;10;1/01/2023;Cámaras;2023;4032.1
Lawrence Miller;Masculino;USA;619.69;4;1/01/2023;Tablets;2023;2478.76
Katherine Green;Femenino;Francia;170.56;3;1/01/2023;Tablets;2023;511.68
Jocelyn Wright;Femenino;Alemania;920.39;10;1/01/2023;Laptops;2023;9203.9
Kevin Woods;Femenino;Alemania;215.94;7;1/01/2023;Laptops;2023;1511.58
Julie Flores MD;No especificado;Francia;454.6;8;1/01/2023;Televisores;2023;3636.8
Jorge Flowers;Masculino;Canada;574.09;3;1/01/2023;Tablets;2023;1722.27
Ryan Rodriguez;Masculino;Canada;63.61;8;1/01/2023;Cámaras;2023;508.88
Craig Daniels;No especificado;Mexico;546.36;6;1/01/2023;Cámaras;2023;3278.16
Thomas Benson;Masculino;Francia;534.79;9;1/01/2023;Consolas;2023;4813.11
Gary Salazar Jr.;No especificado;Canada;705.12;10;1/01/2023;Tablets;2023;7051.2
Casey Wilson;No especificado;Alemania;236.48;7;1/01/2023;Cámaras;2023;1655.36
Michael Fuller;Femenino;Argentina;795.23;9;1/01/2023;Cámaras;2023;7157.07
Alexander Taylor;No especificado;USA;424.63;4;1/01/2023;Consolas;2023;1698.52
Logan Ramirez;Femenino;Italia;283.38;9;1/01/2023;Cámaras;2023;2550.42
Kevin Conley;Masculino;Alemania;485.87;6;1/01/2023;Laptops;2023;2915.22
Lucas Copeland;Masculino;Alemania;934.01;9;1/01/2023;Smartphones;2023;8406.09
Steven Moore;Masculino;Francia;541.47;7;1/01/2023;Cámaras;2023;3790.29
Tami Hubbard;Femenino;Argentina;899.16;6;1/01/2023;Televisores;2023;5394.96
Kevin Bowman;Masculino;España;692.21;5;1/01/2023;Laptops;2023;3461.05
Lydia Mccann;Femenino;USA;960.57;1;1/01/2023;Consolas;2023;960.57
Edwin Arias;Femenino;Brasil;999.82;1;1/01/2023;Laptops;2023;999.82
Matthew Cook;No especificado;Canada;60.79;6;1/01/2023;Consolas;2023;364.74
Mary Lucas;No especificado;España;267.84;9;1/01/2023;Tablets;2023;2410.56
Corey Allen;No especificado;Francia;430.6;5;1/01/2023;Laptops;2023;2153
Jerry Hall;Femenino;Italia;620.35;5;1/01/2023;Televisores;2023;3101.75
Dennis Smith;Femenino;Argentina;433.38;4;1/01/2023;Desktops;2023;1733.52
Marc West;Femenino;Brasil;261.12;1;1/01/2023;Cámaras;2023;261.12
Ryan Romero;No especificado;Canada;902.36;6;1/01/2023;Desktops;2023;5414.16
Donald Jackson;No especificado;Argentina;443.02;10;1/01/2023;Desktops;2023;4430.2
Kristy Farmer;Masculino;Francia;889.77;3;1/01/2023;Consolas;2023;2669.31
Scott Patterson;Femenino;Canada;438.14;1;1/01/2023;Cámaras;2023;438.14
Joyce Williamson;Femenino;Canada;571.68;5;1/01/2023;Tablets;2023;2858.4
Patricia Jones;Masculino;Brasil;75.47;6;1/01/2023;Consolas;2023;452.82
Lisa Pollard;Femenino;Francia;774.45;5;1/01/2023;Laptops;2023;3872.25
Amy Morales;No especificado;Canada;643.24;8;1/01/2023;Consolas;2023;5145.92
Ronald Hill;No especificado;Alemania;59.37;2;1/01/2023;Laptops;2023;118.74
Hannah Ho;Masculino;Alemania;953.48;3;1/01/2023;Televisores;2023;2860.44
Kelly Ramirez;No especificado;Francia;370.37;10;1/01/2023;Laptops;2023;3703.7
Christina Silva;Femenino;Mexico;883.47;8;1/01/2023;Smartphones;2023;7067.76
Sylvia Gonzalez;Masculino;Brasil;275.52;9;1/01/2023;Televisores;2023;2479.68
Candice Ellis;Femenino;Italia;951.27;9;1/01/2023;Tablets;2023;8561.43
Chris Castro;Femenino;USA;145.25;8;1/01/2023;Consolas;2023;1162
Jasmine Marshall;No especificado;Colombia;935.7;8;1/01/2023;Tablets;2023;7485.6
Justin Dixon;No especificado;España;543.65;5;1/01/2023;Laptops;2023;2718.25
Nicholas Taylor;No especificado;Alemania;330.05;10;1/01/2023;Desktops;2023;3300.5
Natalie Weber;No especificado;Colombia;715.03;10;1/01/2023;Tablets;2023;7150.3
Joy Carter;Femenino;Mexico;838.53;2;1/01/2023;Consolas;2023;1677.06
Stephen Anderson;No especificado;USA;841.95;5;1/01/2023;Tablets;2023;4209.75
Heidi Rowland;No especificado;Colombia;340.79;9;1/01/2023;Smartphones;2023;3067.11
Jennifer King;Masculino;USA;971.51;8;1/01/2023;Desktops;2023;7772.08
Joshua Lane;No especificado;Canada;148.87;6;1/01/2023;Tablets;2023;893.22
Tina Frazier;Masculino;Canada;362.7;8;1/01/2023;Smartphones;2023;2901.6
Mr. Lee Edwards MD;Masculino;Mexico;699.59;3;1/01/2023;Televisores;2023;2098.77
David Miles;Masculino;España;316.49;5;1/01/2023;Televisores;2023;1582.45
Juan Hunter;Masculino;Brasil;998.92;9;1/01/2023;Tablets;2023;8990.28
Carolyn Chase;No especificado;Francia;460.86;1;1/01/2023;Smartphones;2023;460.86
Robert Levy;Masculino;Francia;854.3;4;1/01/2023;Tablets;2023;3417.2
Tabitha Marquez;Femenino;España;159.03;4;1/01/2023;Televisores;2023;636.12
Isabel Hayes;No especificado;USA;299.49;8;1/01/2023;Tablets;2023;2395.92
Michael Martin;No especificado;Italia;761.4;2;1/01/2023;Televisores;2023;1522.8
Mario Brown;Masculino;Canada;415.21;1;1/01/2023;Desktops;2023;415.21
Rachel Weiss;Masculino;Francia;627.19;10;1/01/2023;Desktops;2023;6271.9
Dr. Gloria Miller MD;No especificado;España;497.96;1;1/01/2023;Tablets;2023;497.96
Charles Arroyo;No especificado;España;62.08;4;1/01/2023;Tablets;2023;248.32
Kristine Williams;Masculino;España;291.46;7;1/01/2023;Laptops;2023;2040.22
Brian Cline;No especificado;Mexico;484.08;2;1/01/2023;Cámaras;2023;968.16
Joanne Johnson;Femenino;España;823.98;6;1/01/2023;Laptops;2023;4943.88
Daniel Henry;No especificado;Mexico;353.94;8;1/01/2023;Cámaras;2023;2831.52
Diana Holmes;No especificado;Canada;330.69;6;1/01/2023;Smartphones;2023;1984.14
Anne Miller;No especificado;Italia;169.1;7;1/01/2023;Smartphones;2023;1183.7
Adam Ramos;Femenino;Brasil;511.99;4;1/01/2023;Televisores;2023;2047.96
Bruce Byrd;Femenino;Brasil;731.53;5;1/01/2023;Tablets;2023;3657.65
Brenda Hess;Masculino;Alemania;963.55;5;1/01/2023;Desktops;2023;4817.75
Katherine Garcia;Masculino;Alemania;240.23;5;1/01/2023;Cámaras;2023;1201.15
Ryan Brown;Femenino;Brasil;563.57;10;1/01/2023;Tablets;2023;5635.7
Kurt Mcconnell;Masculino;Mexico;732.72;3;1/01/2023;Laptops;2023;2198.16
Rebecca Gomez;No especificado;Brasil;739.57;7;1/01/2023;Cámaras;2023;5176.99
Alexander Mcgee;No especificado;Canada;493.61;10;1/01/2023;Laptops;2023;4936.1
Mary Valencia;No especificado;Mexico;268.72;7;1/01/2023;Smartphones;2023;1881.04
Daniel Wilson;No especificado;Colombia;382.49;1;1/01/2023;Tablets;2023;382.49
Mikayla Mccarty;No especificado;España;726.31;1;1/01/2023;Tablets;2023;726.31
Benjamin Jimenez;No especificado;USA;583.83;3;1/01/2023;Laptops;2023;1751.49
Rachael Ellis;Femenino;Italia;480.75;5;1/01/2023;Consolas;2023;2403.75
Kristy Phillips;Masculino;Colombia;408.26;1;1/01/2023;Tablets;2023;408.26
Patricia Rodriguez;Masculino;Alemania;857.26;4;1/01/2023;Smartphones;2023;3429.04
Regina Beck;Femenino;Canada;423.03;6;1/01/2023;Tablets;2023;2538.18
Allison Stewart;Masculino;Mexico;494.89;2;1/01/2023;Smartphones;2023;989.78
Katherine Edwards;No especificado;Argentina;172.91;4;1/01/2023;Cámaras;2023;691.64
Christopher Clark;No especificado;Colombia;401.12;8;1/01/2023;Tablets;2023;3208.96
Beverly Martinez;Masculino;Mexico;145.11;10;1/01/2023;Consolas;2023;1451.1
Jennifer Collier;No especificado;Mexico;426.6;8;1/01/2023;Cámaras;2023;3412.8
James Curry;Masculino;Canada;759.26;2;1/01/2023;Desktops;2023;1518.52
Larry Cross;Femenino;España;918.68;10;1/01/2023;Televisores;2023;9186.8
Anna Rodriguez;Masculino;Alemania;940.42;10;1/01/2023;Desktops;2023;9404.2
Melissa Robinson;No especificado;Francia;696.2;9;1/01/2023;Televisores;2023;6265.8
Felicia Paul;Femenino;Alemania;415.23;10;1/01/2023;Consolas;2023;4152.3
Jessica Padilla;No especificado;Brasil;495.06;4;1/01/2023;Smartphones;2023;1980.24
Brenda Hamilton;Femenino;USA;832.71;2;1/01/2023;Cámaras;2023;1665.42
Sara Short;Femenino;Brasil;244.56;1;1/01/2023;Consolas;2023;244.56
Michael Scott DDS;No especificado;USA;928.76;3;1/01/2023;Cámaras;2023;2786.28
Carla Bryant;Masculino;Francia;978.93;3;1/01/2023;Tablets;2023;2936.79
Michelle Harris;Femenino;Colombia;525.87;9;1/01/2023;Desktops;2023;4732.83
Stephanie Clark;Masculino;Canada;956.53;5;1/01/2023;Smartphones;2023;4782.65
Rebecca Cunningham;Femenino;Argentina;642.49;9;1/01/2023;Desktops;2023;5782.41
Audrey Jones;No especificado;USA;671.2;3;1/01/2023;Televisores;2023;2013.6
Evelyn Welch;Femenino;Canada;637.91;5;1/01/2023;Laptops;2023;3189.55
Preston Smith;Masculino;Colombia;128.38;3;1/01/2023;Televisores;2023;385.14
Patricia Ross;Masculino;Colombia;989.12;10;1/01/2023;Televisores;2023;9891.2
Mr. Nathan Mitchell;No especificado;Argentina;105.48;2;1/01/2023;Tablets;2023;210.96
Jessica Boone;No especificado;Colombia;172.19;7;1/01/2023;Laptops;2023;1205.33
Ashley Ruiz;No especificado;Argentina;523.15;10;1/01/2023;Laptops;2023;5231.5
Joe Riggs;Masculino;Italia;666.82;6;1/01/2023;Tablets;2023;4000.92
Alex Bird;No especificado;Alemania;613.26;2;1/01/2023;Cámaras;2023;1226.52
Kayla Smith;No especificado;España;732.63;10;1/01/2023;Televisores;2023;7326.3
David Moreno;Masculino;Argentina;902.71;5;1/01/2023;Desktops;2023;4513.55
John Cowan;No especificado;Brasil;828.05;10;1/01/2023;Desktops;2023;8280.5
Jacob Curry;No especificado;Francia;939.28;9;1/01/2023;Consolas;2023;8453.52
Raymond Gonzalez;No especificado;Italia;768.55;7;1/01/2023;Laptops;2023;5379.85
Emily Cantu;Masculino;España;243.88;8;1/01/2023;Cámaras;2023;1951.04
Lisa Torres;No especificado;Italia;766.79;4;1/01/2023;Smartphones;2023;3067.16
Matthew Mendoza;Femenino;Argentina;733.6;2;1/01/2023;Consolas;2023;1467.2
Kathryn Cordova;Masculino;Alemania;703.76;7;1/01/2023;Smartphones;2023;4926.32
Shelia Lopez;Femenino;Colombia;649.91;4;1/01/2023;Consolas;2023;2599.64
Sandra Anderson;Masculino;Colombia;241.26;2;1/01/2023;Desktops;2023;482.52
Samantha Walker;No especificado;USA;663.02;9;1/01/2023;Smartphones;2023;5967.18
Sherry Torres;Masculino;España;131.09;7;1/01/2023;Laptops;2023;917.63
Frank Hernandez;Femenino;USA;822.07;2;1/01/2023;Desktops;2023;1644.14
Laura Mccann;Masculino;Alemania;174.61;9;1/01/2023;Desktops;2023;1571.49
Angela Williams;Masculino;Francia;341.45;9;1/01/2023;Smartphones;2023;3073.05
Matthew Mcdowell;Femenino;Brasil;564.53;10;1/01/2023;Televisores;2023;5645.3
Melanie Pope;No especificado;Italia;522.02;2;1/01/2023;Tablets;2023;1044.04
David Garza;Femenino;Canada;759.89;9;1/01/2023;Desktops;2023;6839.01
Gregory Davis;No especificado;Canada;945.24;1;1/01/2023;Smartphones;2023;945.24
Sarah Hunter;Masculino;España;504.12;1;1/01/2023;Tablets;2023;504.12
Sabrina Mitchell;No especificado;Alemania;146.44;9;1/01/2023;Televisores;2023;1317.96
Melissa Guzman;Masculino;Alemania;886.88;3;1/01/2023;Smartphones;2023;2660.64
William Ferguson;No especificado;Alemania;287.82;9;1/01/2023;Cámaras;2023;2590.38
Natalie Marsh;Masculino;Italia;534.29;7;1/01/2023;Televisores;2023;3740.03
Mr. Jonathan Ward;Femenino;Alemania;330.31;1;1/01/2023;Cámaras;2023;330.31
Alexander Silva;No especificado;Italia;724.56;7;1/01/2023;Cámaras;2023;5071.92
Alan Fleming;Masculino;Francia;237.69;7;1/01/2023;Tablets;2023;1663.83
Brett Harris;Femenino;Italia;680.53;8;1/01/2023;Smartphones;2023;5444.24
Michelle Saunders;Masculino;Francia;69.25;6;1/01/2023;Consolas;2023;415.5
Victor Parker;No especificado;España;156.89;10;1/01/2023;Laptops;2023;1568.9
Renee Knight;Femenino;Francia;769.19;1;1/01/2023;Consolas;2023;769.19
Monique Hall;Masculino;Francia;93.66;7;1/01/2023;Laptops;2023;655.62
Dana Garcia;No especificado;Francia;232.64;9;1/01/2023;Cámaras;2023;2093.76
Natalie Reynolds;Femenino;Mexico;665.19;3;1/01/2023;Consolas;2023;1995.57
Christina Perez MD;Femenino;Francia;598.81;5;1/01/2023;Cámaras;2023;2994.05
Valerie Smith;No especificado;Italia;918.07;9;1/01/2023;Televisores;2023;8262.63
Kristen Bell;No especificado;Canada;557.96;2;1/01/2023;Cámaras;2023;1115.92
Elizabeth Cooper;No especificado;Argentina;346.81;6;1/01/2023;Consolas;2023;2080.86
Peter Freeman;Femenino;Colombia;523.27;3;1/01/2023;Smartphones;2023;1569.81
Jack Weeks;Masculino;Francia;256.56;2;1/01/2023;Desktops;2023;513.12
Christina Collins;No especificado;Italia;338.4;9;1/01/2023;Smartphones;2023;3045.6
Jessica Hart;No especificado;Italia;572.75;7;1/01/2023;Televisores;2023;4009.25
Lawrence Richardson;Femenino;Brasil;666.36;4;1/01/2023;Cámaras;2023;2665.44
Brian Romero;No especificado;Colombia;859.29;2;1/01/2023;Smartphones;2023;1718.58
Kelly Humphrey;No especificado;Argentina;691.7;10;1/01/2023;Tablets;2023;6917
Andrew Bailey;Masculino;Francia;363.92;7;1/01/2023;Cámaras;2023;2547.44
Terry Thomas;Masculino;Alemania;313.84;6;1/01/2023;Televisores;2023;1883.04
Karen Henderson;Masculino;Colombia;142.93;2;1/01/2023;Consolas;2023;285.86
Brian Williams;Femenino;Mexico;436.14;6;1/01/2023;Smartphones;2023;2616.84
Lynn Dixon;No especificado;Brasil;938.11;5;1/01/2023;Laptops;2023;4690.55
David Lester;No especificado;Alemania;611.53;10;1/01/2023;Consolas;2023;6115.3
Veronica Macias;No especificado;Brasil;122.02;6;1/01/2023;Cámaras;2023;732.12
Taylor Black;Masculino;Alemania;801.77;6;1/01/2023;Cámaras;2023;4810.62
Javier Williamson;Femenino;USA;808.05;1;1/01/2023;Laptops;2023;808.05
Caitlin Mcclure;Masculino;Canada;536.78;4;1/01/2023;Televisores;2023;2147.12
Christopher Harmon;No especificado;Alemania;430.06;4;1/01/2023;Laptops;2023;1720.24
Terri Garrett;Femenino;Argentina;992.86;7;1/01/2023;Cámaras;2023;6950.02
Dr. Roger Stephens;Femenino;Argentina;908.64;5;1/01/2023;Consolas;2023;4543.2
Angie Cruz;No especificado;Mexico;223.07;4;1/01/2023;Desktops;2023;892.28
Gary Ramos;Masculino;Colombia;610.57;3;1/01/2023;Desktops;2023;1831.71
Kellie Miller;No especificado;Canada;114.03;3;1/01/2023;Desktops;2023;342.09
Eric Adkins;Masculino;Alemania;748.87;9;1/01/2023;Laptops;2023;6739.83
Susan Roberson;No especificado;España;483.96;2;1/01/2023;Laptops;2023;967.92
Yolanda Hanson;Masculino;Argentina;491.02;4;1/01/2023;Tablets;2023;1964.08
George Holden;Femenino;Italia;57.69;9;1/01/2023;Consolas;2023;519.21
Joseph Robinson;Femenino;Canada;651.1;9;1/01/2023;Smartphones;2023;5859.9
Kristin Estrada;No especificado;Brasil;642.66;4;1/01/2023;Televisores;2023;2570.64
John Patrick;Femenino;Francia;162.6;3;1/01/2023;Smartphones;2023;487.8
Rhonda Franklin;Femenino;Mexico;222.07;2;1/01/2023;Desktops;2023;444.14
Mrs. Brandy Foster DDS;No especificado;España;143;9;1/01/2023;Tablets;2023;1287
Joshua Coleman;Femenino;Francia;659.28;7;1/01/2023;Tablets;2023;4614.96
Daniel Miller;Femenino;USA;616.79;7;1/01/2023;Tablets;2023;4317.53
Aimee Le;No especificado;Italia;388.3;7;1/01/2023;Tablets;2023;2718.1
Michael Singleton;Femenino;Italia;500.04;7;1/01/2023;Televisores;2023;3500.28
Ana Reid;Masculino;España;787.2;6;1/01/2023;Tablets;2023;4723.2
Richard Foley;Masculino;Alemania;130.35;10;1/01/2023;Tablets;2023;1303.5
Oscar Oconnor;No especificado;Argentina;558.89;7;1/01/2023;Laptops;2023;3912.23
Autumn Johnson;Femenino;Alemania;470.83;6;1/01/2023;Consolas;2023;2824.98
Jimmy Miranda;No especificado;Colombia;631.07;10;1/01/2023;Desktops;2023;6310.7
Jeremy Sanchez;No especificado;Colombia;917.42;8;1/01/2023;Laptops;2023;7339.36
Meredith Bennett;Masculino;Canada;917.01;5;1/01/2023;Televisores;2023;4585.05
Kimberly Burton;Femenino;Argentina;952.77;1;1/01/2023;Laptops;2023;952.77
Derrick Moss;Masculino;Francia;747.15;4;1/01/2023;Consolas;2023;2988.6
Patrick Livingston;No especificado;Mexico;936.89;9;1/01/2023;Desktops;2023;8432.01
Luis Byrd;Masculino;Mexico;916.78;9;1/01/2023;Desktops;2023;8251.02
Nicholas Cunningham;No especificado;Colombia;287;2;1/01/2023;Desktops;2023;574
Christine Cole;Masculino;Alemania;766.66;7;1/01/2023;Tablets;2023;5366.62
Cody Snyder;No especificado;Argentina;718.5;3;1/01/2023;Desktops;2023;2155.5
Matthew Craig;Femenino;España;429.34;2;1/01/2023;Laptops;2023;858.68
Eric Sherman;No especificado;Canada;92.25;4;1/01/2023;Cámaras;2023;369
Craig Jimenez;No especificado;Brasil;53.54;9;1/01/2023;Televisores;2023;481.86
Angela Smith;Masculino;Canada;590.97;7;1/01/2023;Televisores;2023;4136.79
Erika Garcia;No especificado;España;579.03;3;1/01/2023;Consolas;2023;1737.09
Jason Cunningham;No especificado;Canada;754.61;9;1/01/2023;Televisores;2023;6791.49
Juan Williams;Femenino;Alemania;881.73;3;1/01/2023;Tablets;2023;2645.19
Sandra Hampton;Masculino;Colombia;420.97;2;1/01/2023;Consolas;2023;841.94
Christina Rich;Femenino;Colombia;546.14;7;1/01/2023;Tablets;2023;3822.98
Matthew Mclaughlin;Masculino;Italia;218.77;9;1/01/2023;Consolas;2023;1968.93
Jason Payne;Femenino;Mexico;50.08;4;1/01/2023;Consolas;2023;200.32
Charles Henry;Masculino;Brasil;496.6;7;1/01/2023;Desktops;2023;3476.2
Ryan Cummings;Masculino;Francia;741.87;6;1/01/2023;Laptops;2023;4451.22
Toni Anderson;No especificado;USA;464.7;2;1/01/2023;Smartphones;2023;929.4
Dustin Brown;No especificado;Argentina;838.49;3;1/01/2023;Cámaras;2023;2515.47
Jason Dunn;Masculino;Alemania;89.83;5;1/01/2023;Consolas;2023;449.15
Jennifer Marshall;Femenino;Alemania;330.16;2;1/01/2023;Consolas;2023;660.32
Susan Evans;No especificado;USA;569.14;3;1/01/2023;Tablets;2023;1707.42
Michael Hall;No especificado;Canada;375.47;4;1/01/2023;Laptops;2023;1501.88
Sarah Johnson;No especificado;Francia;482.2;2;1/01/2023;Desktops;2023;964.4
Heather Adams;No especificado;Mexico;454.67;4;1/01/2023;Consolas;2023;1818.68
Brett Ford;Femenino;Colombia;708.35;8;1/01/2023;Tablets;2023;5666.8
Ashley Blake;No especificado;Colombia;675.23;1;1/01/2023;Laptops;2023;675.23
Amanda Rojas;Femenino;Italia;954.44;5;1/01/2023;Tablets;2023;4772.2
Todd Sheppard;No especificado;Mexico;868.17;3;1/01/2023;Tablets;2023;2604.51
Christopher Thompson;No especificado;Brasil;239.09;4;1/01/2023;Televisores;2023;956.36
Richard Wright;Femenino;Canada;840.4;1;1/01/2023;Smartphones;2023;840.4
Brittany Hines;Masculino;Francia;988.06;8;1/01/2023;Televisores;2023;7904.48
Austin Collins;Masculino;Argentina;963.76;4;1/01/2023;Laptops;2023;3855.04
Randall Morgan PhD;No especificado;Francia;846.95;1;1/01/2023;Consolas;2023;846.95
Gregory Martin;Femenino;USA;264.72;5;1/01/2023;Cámaras;2023;1323.6
Elizabeth Pennington;Femenino;Brasil;777.24;1;1/01/2023;Televisores;2023;777.24
Tracie Johnson;Masculino;España;332.2;10;1/01/2023;Desktops;2023;3322
Jason Jensen;Femenino;USA;364.31;2;1/01/2023;Consolas;2023;728.62
Kyle Evans;Femenino;Francia;454.1;8;1/01/2023;Desktops;2023;3632.8
Michael Santiago;No especificado;Brasil;606.67;4;1/01/2023;Televisores;2023;2426.68
Amy Hayes;Masculino;Brasil;706.02;8;1/01/2023;Smartphones;2023;5648.16
Brittney Johnson;Femenino;Italia;220.13;2;1/01/2023;Televisores;2023;440.26
Sierra Wilson;Masculino;Francia;94.54;10;1/01/2023;Televisores;2023;945.4
Joseph Arnold;Femenino;Brasil;536.81;8;1/01/2023;Laptops;2023;4294.48
Kimberly Jones;No especificado;Mexico;192.99;4;1/01/2023;Cámaras;2023;771.96
Holly Ramsey;Masculino;Italia;876.35;2;1/01/2023;Consolas;2023;1752.7
Jacob Pace;Masculino;Italia;253.37;6;1/01/2023;Cámaras;2023;1520.22
Anthony Spencer;Femenino;España;304.44;6;1/01/2023;Consolas;2023;1826.64
Mr. Zachary Evans III;No especificado;Argentina;418.72;3;1/01/2023;Tablets;2023;1256.16
Taylor Jenkins;No especificado;Canada;556.41;9;1/01/2023;Desktops;2023;5007.69
Linda Marshall DDS;Femenino;Canada;642.44;10;1/01/2023;Cámaras;2023;6424.4
Ronald Clark;Masculino;Argentina;561.57;7;1/01/2023;Tablets;2023;3930.99
Ms. Michelle Sellers;Femenino;Colombia;950.04;2;1/01/2023;Tablets;2023;1900.08
Michelle Medina;Femenino;Francia;530.63;8;1/01/2023;Consolas;2023;4245.04
Kristy Thompson;Masculino;Francia;218.94;6;1/01/2023;Consolas;2023;1313.64
Edgar Wells;Masculino;Italia;946.67;10;1/01/2023;Cámaras;2023;9466.7
